Series Name	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
Electric power consumption (kWh per capita)	Sri Lanka	LKA	154.2168675	289.8125851	399.7884983	416.1884326	420.8732589	418.3374083	450.9756452	490.8237098	526.8103109	..	..	..
Electric power consumption (kWh per capita)	St. Kitts and Nevis	KNA	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	St. Lucia	LCA	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	St. Martin (French part)	MAF	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	St. Vincent and the Grenadines	VCT	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Sudan	SDN	49.74584993	62.40534411	84.25703583	90.54622292	98.42317781	112.8216056	131.0552689	141.6453441	156.9423377	..	..	..
Electric power consumption (kWh per capita)	Suriname	SUR	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Swaziland	SWZ	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Sweden	SWE	15836.03376	15681.61527	15262.58727	15257.93575	14869.34898	14143.01101	14934.32696	14030.16315	14289.59509	..	..	..
Electric power consumption (kWh per capita)	Switzerland	CHE	7445.440926	7845.495354	8360.442516	8163.295576	8305.923042	8021.094469	8174.535959	7928.317054	7886.094306	..	..	..
