title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Hotel Rwanda,121,Drama;History;War,Terry George,Keir Pearson;Terry George,Don Cheadle;Sophie Okonedo;Joaquin Phoenix,8.1,"244,679"
Le salaire de la peur,131,Adventure;Drama;Thriller,Henri-Georges Clouzot,Georges Arnaud;Henri-Georges Clouzot,Yves Montand;Charles Vanel;Peter van Eyck,8.2,"32,212"
Life of Brian,94,Comedy,Terry Jones,Graham Chapman;John Cleese,Graham Chapman;John Cleese;Michael Palin,8.1,"250,571"
Platoon,120,Drama;War,Oliver Stone,Oliver Stone,Charlie Sheen;Tom Berenger;Willem Dafoe,8.1,"270,360"
Butch Cassidy and the Sundance Kid,110,Biography;Crime;Western,George Roy Hill,William Goldman,Paul Newman;Robert Redford;Katharine Ross,8.1,"139,167"
There Will Be Blood,158,Drama,Paul Thomas Anderson,Paul Thomas Anderson;Upton Sinclair,Daniel Day-Lewis;Paul Dano;Ciarn Hinds,8.1,"342,387"
Network,121,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway;William Holden;Peter Finch,8.1,"94,661"
Les quatre cents coups,99,Crime;Drama,Franois Truffaut,Franois Truffaut;Marcel Moussy,Jean-Pierre Laud;Albert Rmy;Claire Maurier,8.2,"63,982"
Touch of Evil,95,Crime;Film-Noir;Thriller,Orson Welles,Orson Welles;Whit Masterson,Charlton Heston;Orson Welles;Janet Leigh,8.2,"67,311"
Stand by Me,89,Adventure;Drama,Rob Reiner,Stephen King;Raynold Gideon,Wil Wheaton;River Phoenix;Corey Feldman,8.1,"250,322"
Persona,85,Drama,Ingmar Bergman,Ingmar Bergman,Bibi Andersson;Liv Ullmann;Margaretha Krook,8.2,"54,892"
12 Years a Slave,134,Biography;Drama;History,Steve McQueen,John Ridley;Solomon Northup,Chiwetel Ejiofor;Michael Kenneth Williams;Michael Fassbender,8.1,"380,917"
The Princess Bride,98,Adventure;Comedy;Family,Rob Reiner,William Goldman;William Goldman,Cary Elwes;Mandy Patinkin;Robin Wright,8.1,"272,010"
In the Name of the Father,133,Biography;Drama;History,Jim Sheridan,Gerry Conlon;Terry George,Daniel Day-Lewis;Pete Postlethwaite;Alison Crosbie,8.1,"98,952"
Amores perros,154,Drama;Thriller,Alejandro Gonzlez Irritu,Guillermo Arriaga,Emilio Echevarra;Gael Garca Bernal;Goya Toledo,8.1,"160,521"
The Grand Budapest Hotel,99,Adventure;Comedy;Drama,Wes Anderson,Stefan Zweig;Wes Anderson,Ralph Fiennes;F. Murray Abraham;Mathieu Amalric,8.1,"400,464"
Million Dollar Baby,132,Drama;Sport,Clint Eastwood,Paul Haggis;F.X. Toole,Hilary Swank;Clint Eastwood;Morgan Freeman,8.1,"440,835"
Annie Hall,93,Comedy;Romance,Woody Allen,Woody Allen;Marshall Brickman,Woody Allen;Diane Keaton;Tony Roberts,8.1,"175,815"
Ben Hur,212,Adventure;Drama;History,William Wyler,Lew Wallace;Karl Tunberg,Charlton Heston;Jack Hawkins;Stephen Boyd,8.1,"146,387"
The Grapes of Wrath,129,Drama,John Ford,Nunnally Johnson;John Steinbeck,Henry Fonda;Jane Darwell;John Carradine,8.1,"57,656"
Shutter Island,138,Mystery;Thriller,Martin Scorsese,Laeta Kalogridis;Dennis Lehane,Leonardo DiCaprio;Emily Mortimer;Mark Ruffalo,8.1,"701,066"
Hachi: A Dog's Tale,93,Drama;Family,Lasse Hallstrm,Stephen P. Lindsey;Kaneto Shind,Richard Gere;Joan Allen;Cary-Hiroyuki Tagawa,8.2,"130,856"
Kaze no tani no Naushika,117,Animation;Adventure;Fantasy,Hayao Miyazaki,Hayao Miyazaki;Hayao Miyazaki,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyda,8.1,"85,710"
Demonen,116,Drama;Horror;Thriller,Henri-Georges Clouzot,Pierre Boileau;Thomas Narcejac,Simone Signoret;Vra Clouzot;Paul Meurisse,8.2,"38,388"
Relatos salvajes,122,Comedy;Drama;Thriller,Damin Szifrn,Damin Szifrn,Daro Grandinetti;Mara Marull;Mnica Villa,8.2,"59,692"
Stalker,163,Drama;Sci-Fi,Andrei Tarkovsky,Arkadiy Strugatskiy;Boris Strugatskiy,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn,8.2,"61,708"
Sin City,124,Crime;Thriller,Frank Miller;Robert Rodriguez,Frank Miller,Mickey Rourke;Clive Owen;Bruce Willis,8.1,"614,650"
Gandhi,191,Biography;Drama;History,Richard Attenborough,John Briley,Ben Kingsley;John Gielgud;Candice Bergen,8.1,"157,238"
De beste jaren van ons leven,172,Drama;Romance;War,William Wyler,Robert E. Sherwood;MacKinlay Kantor,Fredric March;Dana Andrews;Myrna Loy,8.2,"37,123"
The Wizard of Oz,102,Adventure;Family;Fantasy,Victor Fleming;George Cukor,Noel Langley;Florence Ryerson,Judy Garland;Frank Morgan;Ray Bolger,8.1,"267,864"
The Bourne Ultimatum,115,Action;Thriller,Paul Greengrass,Tony Gilroy;Scott Z. Burns,Matt Damon;dgar Ramrez;Joan Allen,8.1,"448,266"
Jurassic Park,127,Adventure;Sci-Fi;Thriller,Steven Spielberg,Michael Crichton;Michael Crichton,Sam Neill;Laura Dern;Jeff Goldblum,8.1,"545,321"
Donnie Darko,113,Drama;Sci-Fi,Richard Kelly,Richard Kelly,Jake Gyllenhaal;Jena Malone;Mary McDonnell,8.1,"538,140"
8,138,Drama,Federico Fellini,Federico Fellini;Ennio Flaiano,Marcello Mastroianni;Anouk Aime;Claudia Cardinale,8.1,"72,314"
Strangers on a Train,101,Crime;Film-Noir;Thriller,Alfred Hitchcock,Raymond Chandler;Czenzi Ormonde,Farley Granger;Robert Walker;Ruth Roman,8.1,"87,977"
Before Sunrise,105,Drama;Romance,Richard Linklater,Richard Linklater;Kim Krizan,Ethan Hawke;Julie Delpy;Andrea Eckert,8.1,"165,322"
Twelve Monkeys,129,Mystery;Sci-Fi;Thriller,Terry Gilliam,Chris Marker;David Webb Peoples,Bruce Willis;Madeleine Stowe;Brad Pitt,8.1,"428,521"
The Terminator,107,Action;Sci-Fi,James Cameron,James Cameron;Gale Anne Hurd,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn,8.1,"547,823"
The Avengers,143,Action;Adventure;Sci-Fi,Joss Whedon,Joss Whedon;Zak Penn,Robert Downey Jr.;Chris Evans;Scarlett Johansson,8.1,"896,190"
Mou gaan dou,101,Crime;Mystery;Thriller,Wai-Keung Lau;Alan Mak,Alan Mak;Felix Chong,Andy Lau;Tony Chiu Wai Leung;Anthony Chau-Sang Wong,8.1,"85,021"
Groundhog Day,101,Comedy;Fantasy;Romance,Harold Ramis,Danny Rubin;Harold Ramis,Bill Murray;Andie MacDowell;Chris Elliott,8.1,"398,131"
Jaws,124,Adventure;Drama;Thriller,Steven Spielberg,Peter Benchley;Carl Gottlieb,Roy Scheider;Robert Shaw;Richard Dreyfuss,8.1,"377,460"
"Monsters, Inc.",92,Animation;Adventure;Comedy,Pete Docter;David Silverman,Pete Docter;Jill Culton,Billy Crystal;John Goodman;Mary Gibbs,8.1,"524,240"
De slag om Algiers,121,Drama;History;War,Gillo Pontecorvo,Gillo Pontecorvo;Franco Solinas,Brahim Hadjadj;Jean Martin;Yacef Saadi,8.2,"33,628"
Salinui chueok,130,Crime;Drama;Mystery,Joon-ho Bong,Joon-ho Bong;Kwang-rim Kim,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim,8.1,"57,719"
The Truman Show,103,Drama,Peter Weir,Andrew Niccol,Jim Carrey;Ed Harris;Laura Linney,8.1,"605,862"
Harry Potter and the Deathly Hallows: Part 2,130,Adventure;Drama;Fantasy,David Yates,Steve Kloves;J.K. Rowling,Daniel Radcliffe;Emma Watson;Rupert Grint,8.1,"486,615"
Fanny och Alexander,188,Drama,Ingmar Bergman,Ingmar Bergman,Bertil Guve;Pernilla Allwin;Kristina Adolphson,8.1,"39,397"
Kumonosu-j,110,Drama,Akira Kurosawa,Hideo Oguni;Shinobu Hashimoto,Toshir Mifune;Minoru Chiaki;Isuzu Yamada,8.2,"27,611"
Barry Lyndon,184,Adventure;Drama;History,Stanley Kubrick,Stanley Kubrick;William Makepeace Thackeray,Ryan O'Neal;Marisa Berenson;Patrick Magee,8.1,"92,896"
Rocky,119,Drama;Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young,8.1,"331,520"
Dog Day Afternoon,125,Crime;Drama,Sidney Lumet,Frank Pierson;P.F. Kluge,Al Pacino;John Cazale;Penelope Allen,8.1,"169,518"
Guardians of the Galaxy,121,Action;Adventure;Sci-Fi,James Gunn,James Gunn;Nicole Perlman,Chris Pratt;Vin Diesel;Bradley Cooper,8.1,"569,314"
La haine,98,Crime;Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel;Hubert Kound;Sad Taghmaoui,8.1,"94,095"
Yip Man,106,Action;Biography;Drama,Wilson Yip,Edmond Wong;Chan Tai-Li,Donnie Yen;Simon Yam;Siu-Wong Fan,8.1,"145,024"
Klokslag 12,85,Drama;Western,Fred Zinnemann,Carl Foreman;John W. Cunningham,Gary Cooper;Grace Kelly;Thomas Mitchell,8.1,"74,172"
The King's Speech,118,Biography;Drama,Tom Hooper,David Seidler,Colin Firth;Geoffrey Rush;Helena Bonham Carter,8.1,"453,936"
The Imitation Game,114,Biography;Drama;Thriller,Morten Tyldum,Graham Moore;Andrew Hodges,Benedict Cumberbatch;Keira Knightley;Matthew Goode,8.1,"366,257"
Per un pugno di dollari,99,Action;Drama;Western,Sergio Leone,Adriano Bolzoni;Vctor Andrs Catena,Clint Eastwood;Gian Maria Volont;Marianne Koch,8.1,"130,576"
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action;Adventure;Fantasy,Gore Verbinski,Ted Elliott;Terry Rossio,Johnny Depp;Geoffrey Rush;Orlando Bloom,8.1,"743,666"
Notorious,101,Drama;Film-Noir;Romance,Alfred Hitchcock,Ben Hecht,Cary Grant;Ingrid Bergman;Claude Rains,8.1,"68,744"
Prisoners,153,Crime;Drama;Mystery,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman;Jake Gyllenhaal;Viola Davis,8.1,"332,723"
Tenk no shiro Rapyuta,124,Animation;Adventure;Family,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin;James Van Der Beek;Cloris Leachman,8.1,"88,044"
The Help,146,Drama,Tate Taylor,Tate Taylor;Kathryn Stockett,Emma Stone;Viola Davis;Octavia Spencer,8.1,"292,525"
Roman Holiday,118,Comedy;Romance,William Wyler,Ian McLellan Hunter;John Dighton,Gregory Peck;Audrey Hepburn;Eddie Albert,8.1,"90,902"
Wie is bang voor Virginia Woolf?,131,Drama,Mike Nichols,Ernest Lehman,Elizabeth Taylor;Richard Burton;George Segal,8.1,"51,915"
Papillon,151,Biography;Crime;Drama,Franklin J. Schaffner,Dalton Trumbo;Lorenzo Semple Jr.,Steve McQueen;Dustin Hoffman;Victor Jory,8.1,"91,446"
Bom yeoreum gaeul gyeoul geurigo bom,103,Drama,Ki-duk Kim,Ki-duk Kim,Ki-duk Kim;Yeong-su Oh;Jong-ho Kim,8.1,"57,680"
Belle en het Beest,84,Animation;Family;Fantasy,Gary Trousdale;Kirk Wise,Linda Woolverton;Roger Allers,Paige O'Hara;Robby Benson;Jesse Corti,8.0,"279,081"
The Night of the Hunter,92,Crime;Drama;Film-Noir,Charles Laughton;Robert Mitchum,Davis Grubb;James Agee,Robert Mitchum;Shelley Winters;Lillian Gish,8.1,"59,986"
Anatomy of a Murder,160,Crime;Drama;Mystery,Otto Preminger,Wendell Mayes;John D. Voelker,James Stewart;Lee Remick;Ben Gazzara,8.1,"42,626"
Before Sunset,80,Drama;Romance,Richard Linklater,Richard Linklater;Julie Delpy,Ethan Hawke;Julie Delpy;Vernon Dobtcheff,8.1,"153,471"
La Strada,108,Drama,Federico Fellini,Federico Fellini;Tullio Pinelli,Anthony Quinn;Giulietta Masina;Richard Basehart,8.1,"43,894"
The Graduate,106,Comedy;Drama;Romance,Mike Nichols,Calder Willingham;Buck Henry,Dustin Hoffman;Anne Bancroft;Katharine Ross,8.0,"200,068"
La dolce vita,174,Comedy;Drama,Federico Fellini,Federico Fellini;Ennio Flaiano,Marcello Mastroianni;Anita Ekberg;Anouk Aime,8.1,"45,276"
The Hustler,134,Drama;Sport,Robert Rossen,Sidney Carroll;Robert Rossen,Paul Newman;Jackie Gleason;Piper Laurie,8.1,"59,815"
Le samoura,105,Crime;Drama;Mystery,Jean-Pierre Melville,Jean-Pierre Melville;Georges Pellegrin,Alain Delon;Nathalie Delon;Franois Prier,8.1,"29,410"
Trois couleurs: Rouge,99,Drama;Mystery;Romance,Krzysztof Kieslowski,Krzysztof Kieslowski;Krzysztof Piesiewicz,Irne Jacob;Jean-Louis Trintignant;Frdrique Feder,8.1,"59,376"
Fa yeung nin wa,98,Drama;Romance,Kar Wai Wong,Kar Wai Wong,Tony Chiu Wai Leung;Maggie Cheung;Ping Lam Siu,8.1,"68,699"
Solaris,167,Drama;Mystery;Sci-Fi,Andrei Tarkovsky,Stanislaw Lem;Fridrikh Gorenshteyn,Natalya Bondarchuk;Donatas Banionis;Jri Jrvet,8.1,"49,377"
The Killing,85,Crime;Film-Noir;Thriller,Stanley Kubrick,Stanley Kubrick;Jim Thompson,Sterling Hayden;Coleen Gray;Vince Edwards,8.1,"58,291"
Tramlijn Begeerte,122,Drama,Elia Kazan,Tennessee Williams;Oscar Saul,Vivien Leigh;Marlon Brando;Kim Hunter,8.1,"73,524"
